"","wb"
"1",2.17734788657773
"2",2.98296061181624
"3",3.03133900971442
"4",3.21420859312714
"5",1.44356406579632
"6",2.83310522496545
"7",3.25185661473385
"8",2.88003728457131
"9",3.29773853767092
"10",1.65118936098028
"11",1.43129972283166
"12",1.29000480137068
"13",2.92498265478012
"14",3.12847961965177
"15",3.02609084732127
"16",3.09322584434068
"17",2.78797328671894
"18",2.42089209331159
"19",2.34334401646622
"20",3.57452375735728
"21",3.04287126708913
"22",2.26678121098171
"23",2.21109333585243
"24",2.63079871080032
"25",2.34850343037493
"26",1.94772330582395
"27",2.53610660536652
"28",1.80369289268397
"29",2.68130688604815
"30",3.21053048783033
"31",1.82239524108016
"32",2.06801501676513
"33",2.42729564302947
"34",3.57227741135672
"35",1.72541808398384
"36",2.4918368578186
"37",3.24283290716855
"38",3.66964189883879
"39",4.13996500577564
"40",1.81576608033051
"41",3.48465321594048
"42",1.79570763664981
"43",2.11598296267268
"44",2.40638938219542
"45",2.35180874860593
"46",2.6800101966533
"47",2.73292548881057
"48",1.41278326743087
"49",2.71733566507623
"50",2.00170695970974
"51",2.61826197276219
"52",1.27086259222845
"53",1.94785928871965
"54",2.58219432877348
"55",3.62414428131608
"56",0.580426857514465
"57",2.73350654151741
"58",3.56837976746801
"59",2.69454757186421
"60",1.54604094305711
"61",3.61493566950051
"62",1.47862799994739
"63",0.830897891153312
"64",2.91077488336997
"65",4.02934828021
"66",3.91533756653469
"67",1.98887890014629
"68",2.09923601386327
"69",1.67924886153801
"70",2.18009932081117
"71",3.60244646581423
"72",3.86414878580801
"73",3.41016262850519
"74",2.51599862745656
"75",3.90024601947338
"76",1.34590753853962
"77",2.0475080652635
"78",4.47561692582066
"79",3.80402253511402
"80",2.5409538372929
"81",3.45599481397213
"82",3.70577634796268
"83",1.72333247319408
"84",2.93450955867369
"85",3.19707417320016
"86",2.85272477143065
"87",2.12284701697554
"88",2.65760215058807
"89",2.74030230802453
"90",2.72976206776408
"91",3.13905344646203
"92",1.48958865116097
"93",2.70158311389522
"94",2.48197431535673
"95",3.63697613206831
"96",3.61858160029585
"97",4.32100682125067
"98",4.26650252744328
"99",2.80440876982352
"100",2.73431819884667
